run_id,backend,config,n_concurrency,decision_staleness_prob_s,n_decisive,mean_decisive_latency_ms
concurrency_n20_20260617_220558_kafka_feed1_rep3,kafka,single,20,0.4229642069746628,3,508.6777783333334
concurrency_n20_20260617_220558_kafka_feed20_rep1,kafka,single,20,1.5668175981151253,3,1886.516045
concurrency_n20_20260617_220558_kafka_feed20_rep2,kafka,single,20,0.06570917771847637,3,79.23371166666665
concurrency_n20_20260617_220558_kafka_feed20_rep3,kafka,single,20,1.128684439599327,3,1356.6067783333335
concurrency_n20_20260617_220558_kafka_feed2_rep1,kafka,single,20,2.121235486506481,3,2552.299311666666
concurrency_n20_20260617_220558_kafka_feed2_rep2,kafka,single,20,0.08276636359299015,3,99.902945
concurrency_n20_20260617_220558_kafka_feed2_rep3,kafka,single,20,2.6624538525841475,3,3200.3715449999995
concurrency_n20_20260617_220558_kafka_feed3_rep1,kafka,single,20,1.442705005924635,3,1736.6821783333332
concurrency_n20_20260617_220558_kafka_feed3_rep2,kafka,single,20,1.2821782802683592,3,1541.019311666667
concurrency_n20_20260617_220558_kafka_feed3_rep3,kafka,single,20,1.7213932426794383,3,2069.2666116666664
concurrency_n20_20260617_220558_kafka_feed4_rep1,kafka,single,20,2.50106529949813,3,3008.277778333333
concurrency_n20_20260617_220558_kafka_feed4_rep2,kafka,single,20,0.0472627065824096,3,56.946478333333324
concurrency_n20_20260617_220558_kafka_feed4_rep3,kafka,single,20,2.7632049327270027,3,3321.019511666667
concurrency_n20_20260617_220558_kafka_feed5_rep1,kafka,single,20,2.112781001281366,3,2542.6450783333335
concurrency_n20_20260617_220558_kafka_feed5_rep2,kafka,single,20,1.2888249980110273,3,1548.9163449999999
concurrency_n20_20260617_220558_kafka_feed5_rep3,kafka,single,20,1.1570174058271603,3,1391.2649783333334
concurrency_n20_20260617_220558_kafka_feed6_rep1,kafka,single,20,1.8470473010835355,3,2223.346045
concurrency_n20_20260617_220558_kafka_feed6_rep2,kafka,single,20,0.5500434260742935,3,660.1021116666667
concurrency_n20_20260617_220558_kafka_feed6_rep3,kafka,single,20,2.2243528158936448,3,2671.2677116666664
concurrency_n20_20260617_220558_kafka_feed7_rep1,kafka,single,20,1.2923355425489318,3,1556.208945
concurrency_n20_20260617_220558_kafka_feed7_rep2,kafka,single,20,0.7089906114230069,3,852.1914783333333
concurrency_n20_20260617_220558_kafka_feed7_rep3,kafka,single,20,3.4295288087923392,3,4121.989778333334
concurrency_n20_20260617_220558_kafka_feed8_rep1,kafka,single,20,1.4796748718300994,3,1780.9675783333332
concurrency_n20_20260617_220558_kafka_feed8_rep2,kafka,single,20,0.22938233524740415,3,276.0716116666666
concurrency_n20_20260617_220558_kafka_feed8_rep3,kafka,single,20,4.034242890586593,3,4848.814611666667
concurrency_n20_20260617_220558_kafka_feed9_rep1,kafka,single,20,3.337622821141041,3,4014.723945
concurrency_n20_20260617_220558_kafka_feed9_rep2,kafka,single,20,2.049040146350942,3,2462.865045
concurrency_n20_20260617_220558_kafka_feed9_rep3,kafka,single,20,1.3366362187262966,3,1606.9867783333332
concurrency_n20_20260617_220558_redis_feed10_rep1,redis,single,20,12.794589689427784,3,15376.183378333333
concurrency_n20_20260617_220558_redis_feed10_rep2,redis,single,20,12.339168971274532,3,14829.409011666665
concurrency_n20_20260617_220558_redis_feed10_rep3,redis,single,20,10.683957202550936,3,12843.527511666665
concurrency_n20_20260617_220558_redis_feed11_rep1,redis,single,20,14.886369318073417,3,17891.360178333332
concurrency_n20_20260617_220558_redis_feed11_rep2,redis,single,20,10.680952831730714,3,12837.395778333332
concurrency_n20_20260617_220558_redis_feed11_rep3,redis,single,20,13.063292730137924,3,15685.773178333335
concurrency_n20_20260617_220558_redis_feed12_rep1,redis,single,20,12.996574225710452,3,15617.923111666665
concurrency_n20_20260617_220558_redis_feed12_rep2,redis,single,20,12.409193425819982,3,14913.526378333334
concurrency_n20_20260617_220558_redis_feed12_rep3,redis,single,20,11.20987723607004,3,13475.641345000002
concurrency_n20_20260617_220558_redis_feed13_rep1,redis,single,20,12.894258504408546,3,15494.975178333334
concurrency_n20_20260617_220558_redis_feed13_rep2,redis,single,20,10.409357747690272,3,12510.271011666666
concurrency_n20_20260617_220558_redis_feed13_rep3,redis,single,20,15.835087714888896,3,19030.750878333336
concurrency_n20_20260617_220558_redis_feed14_rep1,redis,single,20,15.56683628900581,3,18707.869345
concurrency_n20_20260617_220558_redis_feed14_rep2,redis,single,20,10.793329575910262,3,12972.784411666667
concurrency_n20_20260617_220558_redis_feed14_rep3,redis,single,20,10.819677436149211,3,13006.680878333333
concurrency_n20_20260617_220558_redis_feed15_rep1,redis,single,20,13.002210016904273,3,15624.073611666667
concurrency_n20_20260617_220558_redis_feed15_rep2,redis,single,20,2.341367583673734,3,2814.2676783333336
concurrency_n20_20260617_220558_redis_feed15_rep3,redis,single,20,14.170545361503017,3,17030.976345
concurrency_n20_20260617_220558_redis_feed16_rep1,redis,single,20,15.985377815301995,3,19212.76617833333
concurrency_n20_20260617_220558_redis_feed16_rep2,redis,single,20,1.7586817711512772,3,2112.9648783333337
