event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
96bd8297-91b0-47fc-a7b2-2c433ec2e694,redis-py,1784865671537440265,1784865671538479717,1784865671538526288,1784865671538566619,1.039452,0.040331
8d0349fb-568c-440c-9069-42adbf1f9c3a,redis-py,1784865671537440265,1784865671538759163,1784865671538770830,1784865671538777822,1.318898,0.006992
47018dac-e300-4c82-be64-a8bc5b624fe0,redis-py,1784865673537520269,1784865673539565271,1784865673539621447,1784865673539664833,2.045002,0.043386
e3fd3a05-da3c-47a0-a92c-2719348c579e,redis-py,1784865673537520269,1784865673539886862,1784865673539898940,1784865673539905880,2.366593,0.00694
6a0f8b8e-4e1b-42ee-b523-30b9a57b096e,redis-py,1784865674537560270,1784865674538592787,1784865674538638117,1784865674538677157,1.032517,0.03904
439b5ce9-bc81-47ba-8976-7bcd6b7de738,redis-py,1784865676537640273,1784865676539683762,1784865676539736774,1784865676539778317,2.043489,0.041543
65bd167c-af9e-4117-a832-2bd3eab41c47,redis-py,1784865676537640273,1784865676540006195,1784865676540018834,1784865676540025955,2.365922,0.007121
d626a450-651a-452f-8bd2-40bd73e5570f,redis-py,1784865677537680275,1784865677538714420,1784865677538759559,1784865677538798318,1.034145,0.038759
437f9130-077f-43ac-81f2-d1c218161259,redis-py,1784865678537720277,1784865678538760421,1784865678538808504,1784865678538847694,1.040144,0.03919
def5f329-5561-402c-a454-962f20833a5e,redis-py,1784865678537720277,1784865678539043342,1784865678539056042,1784865678539063193,1.323065,0.007151
842b2425-b726-4944-88b7-6e59c5144f28,redis-py,1784865679537760278,1784865679538801732,1784865679538846580,1784865679538888445,1.041454,0.041865
df30aec4-f392-4ae8-8617-ebfbcfafc297,redis-py,1784865680537800280,1784865680538839172,1784865680538884301,1784865680538920997,1.038892,0.036696
47099e16-f149-4698-ab0f-18dd33415330,redis-py,1784865680537800280,1784865680539148875,1784865680539161644,1784865680539169466,1.348595,0.007822
36a42e6a-c56b-4d28-9ed5-75fef386b165,redis-py,1784865681537840281,1784865681538884452,1784865681538931964,1784865681538969462,1.044171,0.037498
b7b039ca-bac1-4467-af8e-0fd8796bb6c9,redis-py,1784865682537880283,1784865682538925677,1784865682538969964,1784865682539008885,1.045394,0.038921
5ba85175-4aee-426a-bece-2a16c73e89b7,redis-py,1784865682537880283,1784865682539243012,1784865682539256632,1784865682539264384,1.362729,0.007752
65416e96-ab82-45f6-83ec-f23beb6e7403,redis-py,1784865695538400304,1784865695551446005,1784865695551515521,1784865695551565218,13.045701,0.049697
253d7c12-c293-456e-b02f-30065daeb31a,redis-py,1784865696538440305,1784865696539471716,1784865696539528292,1784865696539566731,1.031411,0.038439
ef8e2d33-6773-4093-9d0c-aa253f6492c6,redis-py,1784865696538440305,1784865696539786677,1784865696539799025,1784865696539806136,1.346372,0.007111
7c9e8cf2-07c3-471b-8da6-681419a22208,redis-py,1784865698538520309,1784865698540564313,1784865698540616742,1784865698540655141,2.044004,0.038399
a84cf4b4-83d9-478a-aa80-3a0eae44c904,redis-py,1784865700538600312,1784865700540633604,1784865700540687086,1784865700540726927,2.033292,0.039841
