t_wall,rho,loadavg
1784958190.8779643,0.92,6.75
1784958191.3812137,0.89303,6.75
1784958191.8819659,0.975,6.75
1784958192.3822396,0.94737,6.69
1784958192.8829806,1.0,6.69
1784958193.3837433,1.0,6.69
1784958193.8872259,0.99752,6.69
1784958194.3902218,1.0,6.69
1784958194.891024,0.97744,6.69
1784958195.3918204,0.9125,6.69
1784958195.8922322,0.91771,6.69
1784958196.3929734,0.91228,6.69
1784958196.8932536,0.85464,6.69
1784958197.3940768,0.82707,6.72
1784958197.8948922,0.80549,6.72
1784958198.3952732,0.8025,6.72
1784958198.8961277,0.7995,6.72
1784958199.3969495,0.80549,6.72
1784958199.9002683,0.80397,6.72
1784958200.4011517,0.795,6.72
1784958200.902024,0.80299,6.72
1784958201.4028616,0.80702,6.72
1784958201.9032478,0.8005,6.72
1784958202.404,0.798,6.74
1784958202.9048657,0.80549,6.74
1784958203.4072752,0.80299,6.74
1784958203.909251,0.8005,6.74
1784958204.410042,0.80201,6.74
1784958204.9108377,0.805,6.74
1784958205.4132454,0.80446,6.74
1784958205.9139938,0.80101,6.74
1784958206.4148602,0.8005,6.74
1784958206.9152513,0.8075,6.74
1784958207.4160433,0.80451,6.68
1784958207.9168634,0.79851,6.68
1784958208.4176667,0.798,6.68
1784958208.91846,0.81047,6.68
1784958209.4194918,0.8,6.68
1784958209.9202871,0.7975,6.68
1784958210.4232714,0.80941,6.68
1784958210.9241486,0.7995,6.68
1784958211.424972,0.8005,6.68
1784958211.9272745,0.80348,6.68
1784958212.4280503,0.8025,6.78
1784958212.9288077,0.7975,6.78
1784958213.4296675,0.8025,6.78
1784958213.931092,0.8025,6.78
1784958214.4319441,0.80198,6.78
1784958214.9327652,0.80451,6.78
1784958215.4332929,0.79551,6.78
1784958215.9341102,0.8025,6.78
1784958216.4362686,0.8005,6.78
1784958216.937671,0.8075,6.78
1784958217.4382899,0.7995,6.64
1784958217.9391053,0.80299,6.64
1784958218.4402957,0.8005,6.64
1784958218.9432528,0.80149,6.64
1784958219.4440565,0.80201,6.64
1784958219.9449162,0.8005,6.64
1784958220.4472554,0.80549,6.64
1784958220.9480112,0.8005,6.64
1784958221.4488125,0.80299,6.64
1784958221.9492626,0.8025,6.64
1784958222.4500551,0.805,6.35
1784958222.9522479,0.80348,6.35
1784958223.453049,0.8,6.35
1784958223.9538362,0.80952,6.35
1784958224.454312,0.79901,6.35
1784958224.9562483,0.8,6.35
1784958225.4570153,0.80798,6.35
1784958225.958334,0.8025,6.35
1784958226.4591844,0.801,6.35
1784958226.9599526,0.7975,6.35
1784958227.4612696,0.80597,6.32
1784958227.9621062,0.7995,6.32
1784958228.4642754,0.80846,6.32
1784958228.965081,0.8005,6.32
1784958229.4658873,0.7975,6.32
1784958229.9667652,0.80549,6.32
1784958230.4683557,0.80549,6.32
1784958230.9691815,0.7975,6.32
1784958231.469998,0.80549,6.32
1784958231.9722772,0.798,6.32
1784958232.4731042,0.8025,6.46
