row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
935,3895107,08f1d514-77de-4dbb-a490-66dd05f7425f,1,20,37,1237,10.308333333333334,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:20:37.879,44
936,3895107,245a3d41-6733-4d55-9302-01b93c58a20a,1,20,37,1237,10.308333333333334,Carry,Bayer Leverkusen,Florian Wirtz,00:20:37.879,44
937,3895107,5ee0bb5e-f0e1-443a-a21c-a05dd9dd48df,1,20,38,1238,10.316666666666666,Pass,Bayer Leverkusen,Florian Wirtz,00:20:38.527,44
938,3895107,8124953f-5a08-4ee1-89b6-ff69b73899b3,1,20,39,1239,10.325,Ball Receipt*,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:20:39.503,44
939,3895107,061aebae-0d49-4aa2-8457-11c7379d8e87,1,20,39,1239,10.325,Carry,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:20:39.503,44
940,3895107,ba614ebb-fd7f-4f90-996c-c28fe2cf8a46,1,20,40,1240,10.333333333333334,Pass,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:20:40.874,44
941,3895107,8d385d0f-1256-4aba-864d-ad6c367cfb61,1,20,42,1242,10.35,Ball Receipt*,Bayer Leverkusen,Jonathan Tah,00:20:42.097,44
942,3895107,2bb654d5-c130-46b4-868a-462fb5e204bf,1,20,42,1242,10.35,Carry,Bayer Leverkusen,Jonathan Tah,00:20:42.097,44
943,3895107,507a61cb-d401-42d8-9e6a-eca310a04cb8,1,20,43,1243,10.358333333333333,Pass,Bayer Leverkusen,Jonathan Tah,00:20:43.645,44
944,3895107,88d65a82-adf8-4416-8e80-27482196424a,1,20,44,1244,10.366666666666667,Ball Receipt*,Bayer Leverkusen,Exequiel Alejandro Palacios,00:20:44.610,44
945,3895107,4e0240e4-13f7-46f0-98c9-c11c51f7d5b2,1,20,44,1244,10.366666666666667,Carry,Bayer Leverkusen,Exequiel Alejandro Palacios,00:20:44.610,44
946,3895107,18831fd1-7230-48ee-ba47-a51c36d0ecdd,1,20,44,1244,10.366666666666667,Pass,Bayer Leverkusen,Exequiel Alejandro Palacios,00:20:44.859,44
947,3895107,423340c4-ce99-4533-ab31-f7c66c468b43,1,20,46,1246,10.383333333333333,Ball Receipt*,Bayer Leverkusen,Odilon Kossonou,00:20:46.470,44
948,3895107,9a31c402-045b-4622-aeea-488a17b70acd,1,20,46,1246,10.383333333333333,Carry,Bayer Leverkusen,Odilon Kossonou,00:20:46.470,44
949,3895107,65907243-50c7-4a77-a2f4-c22011e27bbf,1,20,47,1247,10.391666666666667,Pass,Bayer Leverkusen,Odilon Kossonou,00:20:47.695,44
950,3895107,9bba345f-1f57-4995-87e7-987f941dedf9,1,20,48,1248,10.4,Ball Receipt*,Bayer Leverkusen,Exequiel Alejandro Palacios,00:20:48.275,44
951,3895107,1d6e6f35-7570-40b4-8b11-f991e7343a52,1,20,48,1248,10.4,Carry,Bayer Leverkusen,Exequiel Alejandro Palacios,00:20:48.275,44
952,3895107,fad626f2-be4c-4899-9f48-a180ed5c2c45,1,20,48,1248,10.4,Pass,Bayer Leverkusen,Exequiel Alejandro Palacios,00:20:48.406,44
953,3895107,a81c956e-d24b-4bc4-804c-1ca22bd65907,1,20,48,1248,10.4,Pressure,FC Köln,Julian Chabot,00:20:48.699,44
954,3895107,2b25bc63-33e6-4257-8293-e01c5c3acb77,1,20,48,1248,10.4,Ball Receipt*,Bayer Leverkusen,Jonas Hofmann,00:20:48.868,44
955,3895107,44c5cc58-3420-4a5d-8bdc-55895c72ff0f,1,20,48,1248,10.4,Pass,Bayer Leverkusen,Jonas Hofmann,00:20:48.868,44
956,3895107,f0daaef9-6862-49f5-a8da-8061c8dc6154,1,20,49,1249,10.408333333333333,Ball Receipt*,Bayer Leverkusen,Granit Xhaka,00:20:49.587,44
957,3895107,185f0bc3-e8cd-49f9-ac98-c1553d92d065,1,20,49,1249,10.408333333333333,Carry,Bayer Leverkusen,Granit Xhaka,00:20:49.587,44
958,3895107,af75d51b-5a4a-47f4-a637-b31a7cfc485a,1,20,52,1252,10.433333333333334,Pass,Bayer Leverkusen,Granit Xhaka,00:20:52.577,44
959,3895107,64e700de-0414-4f9a-bfe9-0454a49ec2bb,1,20,53,1253,10.441666666666666,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:20:53.163,44
960,3895107,975ae4ce-5554-4d5d-b612-892286ee82d8,1,20,53,1253,10.441666666666666,Carry,Bayer Leverkusen,Florian Wirtz,00:20:53.163,44
961,3895107,4b2bd64a-7023-4ca2-8eea-2483aa9c56e0,1,20,54,1254,10.45,Pass,Bayer Leverkusen,Florian Wirtz,00:20:54.045,44
962,3895107,88a6d25c-195f-4e08-81a2-9fad6e787498,1,20,55,1255,10.458333333333334,Ball Receipt*,Bayer Leverkusen,Victor Okoh Boniface,00:20:55.024,44
