n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,gap_min_s,burstiness,match_id,competition_name,season_name,gender,season_start_year
3480,8352.0,0.4166666666666667,2.6,1.0,0.0,1.0,6.24,3754072,Premier League,2015/2016,male,2015
3483,8542.0,0.4077499414656989,2.8,1.0,0.0,1.0,6.866953775480908,3754073,Premier League,2015/2016,male,2015
3301,8449.0,0.3906971239199905,2.6,1.0,0.0,1.0,6.654771281429871,3754074,Premier League,2015/2016,male,2015
3900,8510.0,0.4582843713278496,2.5,1.0,0.0,1.0,5.455128205128205,3754075,Premier League,2015/2016,male,2015
3210,8642.0,0.3714417958805832,2.4,1.0,0.0,1.0,6.4613084112149535,3754076,Premier League,2015/2016,male,2015
3799,8684.0,0.43747121142330725,3.0,1.0,0.0,1.0,6.857594103711503,3754077,Premier League,2015/2016,male,2015
3352,8551.0,0.392000935563092,3.6,1.0,0.0,1.0,9.18365155131265,3754078,Premier League,2015/2016,male,2015
3448,8524.0,0.40450492726419524,2.6,1.0,0.0,1.0,6.427610208816705,3754079,Premier League,2015/2016,male,2015
3555,8475.0,0.4194690265486726,2.7,1.0,0.0,1.0,6.436708860759494,3754080,Premier League,2015/2016,male,2015
3644,8420.0,0.4327790973871734,2.8,1.0,0.0,1.0,6.469813391877057,3754081,Premier League,2015/2016,male,2015
3651,8519.0,0.42857142857142855,2.8,1.0,0.0,1.0,6.533333333333333,3754082,Premier League,2015/2016,male,2015
3497,8470.0,0.4128689492325856,3.4,1.0,0.0,1.0,8.235058621675721,3754083,Premier League,2015/2016,male,2015
3059,8328.0,0.36731508165225746,2.5,1.0,0.0,1.0,6.80614579928081,3754084,Premier League,2015/2016,male,2015
3670,8400.0,0.4369047619047619,2.5,1.0,0.0,1.0,5.722070844686648,3754085,Premier League,2015/2016,male,2015
3209,8394.0,0.3822968787228973,2.6,1.0,0.0,1.0,6.800997195387971,3754086,Premier League,2015/2016,male,2015
3601,8393.0,0.42904801620397953,2.7,1.0,0.0,1.0,6.293001943904471,3754087,Premier League,2015/2016,male,2015
3697,8471.0,0.43643017353323105,2.7,1.0,0.0,1.0,6.186556667568299,3754088,Premier League,2015/2016,male,2015
3147,8432.0,0.37322106261859583,2.7,1.0,0.0,1.0,7.234318398474739,3754089,Premier League,2015/2016,male,2015
3072,8350.0,0.36790419161676646,2.2,1.0,0.0,1.0,5.979817708333334,3754090,Premier League,2015/2016,male,2015
3162,8429.0,0.3751334677897734,2.6,1.0,0.0,1.0,6.930866540164453,3754091,Premier League,2015/2016,male,2015
3299,8696.0,0.3793698252069917,3.0,1.0,0.0,1.0,7.907850863898151,3754092,Premier League,2015/2016,male,2015
3398,8478.0,0.4008020759613116,2.6,1.0,0.0,1.0,6.48699234844026,3754093,Premier League,2015/2016,male,2015
3655,8343.0,0.43809181349634424,2.6,1.0,0.0,1.0,5.934829001367989,3754094,Premier League,2015/2016,male,2015
3507,8588.0,0.4083605030274802,2.9,1.0,0.0,1.0,7.101568291987453,3754095,Premier League,2015/2016,male,2015
