t_wall,rho,loadavg
1784967133.818892,0.8803,7.66
1784967134.319274,0.8825,7.66
1784967134.8201473,0.88,7.66
1784967135.3212287,0.88529,7.66
1784967135.8219843,0.8775,7.66
1784967136.3232496,0.88308,7.66
1784967136.8240368,0.8825,7.66
1784967137.3259664,0.87811,7.66
1784967137.8292854,0.87562,7.66
1784967138.3300428,0.8775,7.66
1784967138.8310347,0.8825,7.61
1784967139.3318505,0.87562,7.61
1784967139.8322747,0.885,7.61
1784967140.3330832,0.88279,7.61
1784967140.8338675,0.88,7.61
1784967141.3342538,0.88221,7.61
1784967141.8350556,0.8825,7.61
1784967142.3382673,0.87313,7.61
1784967142.8390446,0.8825,7.61
1784967143.3398266,0.8803,7.61
1784967143.8412952,0.88279,7.56
1784967144.3420956,0.88,7.56
1784967144.843337,0.88279,7.56
1784967145.3462622,0.8803,7.56
1784967145.8470514,0.88,7.56
1784967146.3478515,0.88557,7.56
1784967146.8483162,0.88221,7.56
1784967147.3491344,0.885,7.56
1784967147.8499918,0.88308,7.56
1784967148.3508165,0.88279,7.56
1784967148.8532572,0.87811,7.52
1784967149.3541107,0.885,7.52
1784967149.8549223,0.8803,7.52
1784967150.3552556,0.88,7.52
1784967150.8560627,0.8797,7.52
1784967151.356868,0.88529,7.52
1784967151.8582509,0.8803,7.52
1784967152.3590052,0.88,7.52
1784967152.8598566,0.88471,7.52
1784967153.36029,0.88308,7.52
1784967153.8633032,0.8803,7.63
1784967154.3652709,0.87781,7.63
1784967154.8672833,0.88148,7.63
1784967155.3680923,0.87186,7.63
1784967155.8688872,0.8803,7.63
1784967156.3692966,0.8825,7.63
1784967156.8712533,0.88529,7.63
1784967157.3720272,0.8797,7.63
1784967157.8753293,0.87871,7.63
1784967158.3761823,0.885,7.63
1784967158.8769622,0.88221,7.66
1784967159.3772614,0.88,7.66
1784967159.8780544,0.8803,7.66
1784967160.3789215,0.89,7.66
1784967160.879282,0.87781,7.66
1784967161.3800998,0.88471,7.66
1784967161.8822272,0.87811,7.66
1784967162.3830004,0.88221,7.66
1784967162.8837986,0.87313,7.66
1784967163.3842785,0.88722,7.66
1784967163.8850818,0.88221,7.77
1784967164.3862698,0.87811,7.77
