t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784998760848088308,346466,7275356,34889316,6,1,1
1784998760848088308,346473,6642236,109259131,6,1,1
1784998760848088308,346476,1818171133,1249622108,16151,1,1
1784998760848088308,346479,1366475044,82216542,478,2,1
1784998760848088308,346480,1516764972,1249652989,12585,1,1
1784998760848088308,346481,6836257,7970478,5,1,1
1784998760848088308,346486,6587284,14793846,5,1,1
1784998760848088308,346488,7029207,27204247,4,1,1
1784998760848088308,346492,1545047014,171448130,477,2,1
1784998760848088308,346493,1525347882,1451466024,13692,1,1
1784998760848088308,346496,1627441767,137039802,516,2,1
1784998760848088308,346497,7718139,55529436,7,1,1
1784998760848088308,346499,8489491,157997903,30,1,1
1784998760848088308,346501,1445887455,1350556381,12503,1,1
1784998760848088308,346508,1395306444,242547450,436,2,1
1784998760848088308,346509,8763707,25393231,20,1,1
1784998760848088308,346511,1762335540,1326604086,15719,1,1
1784998760848088308,346516,9276112,986189080,204,1,1
1784998760848088308,346517,9015007,112934244,157,1,1
1784998760848088308,346518,8906438,763656763,163,1,1
1784998760848088308,346520,9119904,16738924,109,1,1
1784998760848088308,346521,1091756821,518252735,296,13,1
1784998760848088308,346522,1076908041,2308342434,143,13,1
1784998760848088308,346536,7472629,9596982,49,1,1
1784998760848088308,346537,983173758,1369948417,86,13,1
1784998760848088308,346557,1058722117,668484823,100,13,1
1784998760848088308,346572,8556006,33723460,74,1,1
1784998760848088308,346573,7103297,48953180,88,1,1
1784998760848088308,346574,1069045483,852255409,108,13,1
1784998760848088308,346576,1081524876,1043116145,35,9,1
1784998760848088308,346578,10776334,420564693,127,1,1
1784998760848088308,346579,8623678,415905719,112,1,1
1784998760848088308,346580,1126575896,505334118,47,9,1
1784998760848088308,346614,9097348,245836991,59,1,1
1784998760848088308,346615,1187845717,862633983,47,9,1
1784998760848088308,346616,1101594026,716145372,41,9,1
1784998760848088308,346617,1136619063,498084589,42,9,1
1784998761371484890,346450,7367895,37070079,4,1,1
1784998761371484890,346457,1768778446,68316418,539,2,1
1784998761371484890,346463,7144070,12007976,5,1,1
1784998761371484890,346466,7275356,34889316,6,1,1
1784998761371484890,346473,6642236,109259131,6,1,1
1784998761371484890,346476,1818436120,1249622108,16152,1,1
1784998761371484890,346479,1368303179,82216542,504,2,1
1784998761371484890,346480,1516764972,1249652989,12585,1,1
1784998761371484890,346481,6836257,7970478,5,1,1
1784998761371484890,346486,6587284,14793846,5,1,1
1784998761371484890,346488,7029207,27204247,4,1,1
1784998761371484890,346492,1546491620,171448130,490,2,1
1784998761371484890,346493,1525965588,1451466024,13694,1,1
1784998761371484890,346496,1628915328,137039802,529,2,1
1784998761371484890,346497,7718139,55529436,7,1,1
1784998761371484890,346499,8489491,157997903,30,1,1
1784998761371484890,346501,1445887455,1350556381,12503,1,1
1784998761371484890,346508,1397186464,242547450,449,2,1
1784998761371484890,346509,8763707,25393231,20,1,1
1784998761371484890,346511,1762335540,1326604086,15719,1,1
1784998761371484890,346516,9276112,986189080,204,1,1
1784998761371484890,346517,9015007,112934244,157,1,1
1784998761371484890,346518,8906438,763656763,163,1,1
1784998761371484890,346520,9119904,16738924,109,1,1
1784998761371484890,346521,1091756821,518252735,296,13,1
1784998761371484890,346522,1077706878,2308342434,149,13,1
1784998761371484890,346536,7472629,9596982,49,1,1
1784998761371484890,346537,983173758,1369948417,86,13,1
1784998761371484890,346557,1058722117,668484823,100,13,1
1784998761371484890,346572,8556006,33723460,74,1,1
1784998761371484890,346573,7103297,48953180,88,1,1
1784998761371484890,346574,1069045483,852255409,108,13,1
1784998761371484890,346576,1081524876,1043116145,35,9,1
1784998761371484890,346578,10776334,420564693,127,1,1
1784998761371484890,346579,8623678,415905719,112,1,1
1784998761371484890,346580,1126575896,505334118,47,9,1
1784998761371484890,346614,9097348,245836991,59,1,1
1784998761371484890,346615,1187845717,862633983,47,9,1
1784998761371484890,346616,1103462238,716145372,45,9,1
1784998761371484890,346617,1138546956,498084589,46,9,1
1784998761885625783,346450,7367895,37070079,4,1,1
1784998761885625783,346457,1770575022,68316418,552,2,1
1784998761885625783,346463,7144070,12007976,5,1,1
1784998761885625783,346466,7275356,34889316,6,1,1
1784998761885625783,346473,6642236,109259131,6,1,1
1784998761885625783,346476,1818436120,1249622108,16152,1,1
1784998761885625783,346479,1369621365,82216542,517,2,1
1784998761885625783,346480,1517141317,1249652989,12586,1,1
1784998761885625783,346481,6836257,7970478,5,1,1
1784998761885625783,346486,6587284,14793846,5,1,1
1784998761885625783,346488,7029207,27204247,4,1,1
1784998761885625783,346492,1548395436,171448130,502,2,1
1784998761885625783,346493,1525965588,1451466024,13694,1,1
1784998761885625783,346496,1631048438,137039802,551,2,1
1784998761885625783,346497,7718139,55529436,7,1,1
1784998761885625783,346499,8489491,157997903,30,1,1
1784998761885625783,346501,1446515958,1350556381,12507,1,1
1784998761885625783,346508,1398714496,242547450,463,2,1
1784998761885625783,346509,8763707,25393231,20,1,1
1784998761885625783,346511,1763326507,1326604086,15722,1,1
1784998761885625783,346516,9276112,986189080,204,1,1
1784998761885625783,346517,9015007,112934244,157,1,1
1784998761885625783,346518,8906438,763656763,163,1,1
1784998761885625783,346520,9119904,16738924,109,1,1
1784998761885625783,346521,1092742219,518252735,312,13,1
1784998761885625783,346522,1077706878,2308342434,149,13,1
1784998761885625783,346536,7472629,9596982,49,1,1
1784998761885625783,346537,983971824,1369948417,92,13,1
1784998761885625783,346557,1058722117,668484823,100,13,1
1784998761885625783,346572,8556006,33723460,74,1,1
1784998761885625783,346573,7103297,48953180,88,1,1
1784998761885625783,346574,1069045483,852255409,108,13,1
1784998761885625783,346576,1082917976,1043116145,39,9,1
1784998761885625783,346578,10776334,420564693,127,1,1
1784998761885625783,346579,8623678,415905719,112,1,1
1784998761885625783,346580,1126575896,505334118,47,9,1
1784998761885625783,346614,9097348,245836991,59,1,1
1784998761885625783,346615,1187845717,862633983,47,9,1
1784998761885625783,346616,1103462238,716145372,45,9,1
1784998761885625783,346617,1138546956,498084589,46,9,1
1784998762403094747,346450,7367895,37070079,4,1,1
1784998762403094747,346457,1772460009,68316418,576,2,1
1784998762403094747,346463,7144070,12007976,5,1,1
1784998762403094747,346466,7275356,34889316,6,1,1
1784998762403094747,346473,6642236,109259131,6,1,1
1784998762403094747,346476,1819268549,1249622108,16156,1,1
1784998762403094747,346479,1371456968,82216542,540,2,1
1784998762403094747,346480,1517141317,1249652989,12586,1,1
1784998762403094747,346481,6836257,7970478,5,1,1
1784998762403094747,346486,6587284,14793846,5,1,1
1784998762403094747,346488,7029207,27204247,4,1,1
1784998762403094747,346492,1550028898,171448130,514,2,1
1784998762403094747,346493,1526346971,1451466024,13695,1,1
1784998762403094747,346496,1632601591,137039802,564,2,1
1784998762403094747,346497,7718139,55529436,7,1,1
1784998762403094747,346499,8489491,157997903,30,1,1
1784998762403094747,346501,1446515958,1350556381,12507,1,1
1784998762403094747,346508,1400646476,242547450,488,2,1
1784998762403094747,346509,8763707,25393231,20,1,1
1784998762403094747,346511,1763326507,1326604086,15722,1,1
1784998762403094747,346516,9276112,986189080,204,1,1
1784998762403094747,346517,9015007,112934244,157,1,1
1784998762403094747,346518,8906438,763656763,163,1,1
1784998762403094747,346520,9119904,16738924,109,1,1
