run,n_corrections,n_base_events,n_base_events_with_corrections,correction_propagation_latency_ms,inconsistency_duration_ms,correction_planned_to_consume_latency_ms
s3_s2full_redis_rep1_20260612,100,5037,100,"{'p50': 1.90605, 'p95': 1977.303015, 'p99': 2006.043009, 'max': 2008.0437, 'mean': 533.19364, 'std': 727.2302185590272, 'min': 0.4258, 'count': 100}","{'p50': 1.90605, 'p95': 1977.303015, 'p99': 2006.043009, 'max': 2008.0437, 'mean': 533.19364, 'std': 727.2302185590272, 'min': 0.4258, 'count': 100}","{'p50': 2215.5685059999996, 'p95': 4686.9932467, 'p99': 4892.45124378, 'max': 4944.035667, 'mean': 2761.1406339600003, 'std': 929.2746293022291, 'min': 2001.612167, 'count': 100}"
s3_s2full_kafka_rep2_20260612,100,5037,100,"{'p50': 2.7088, 'p95': 1285.471085, 'p99': 1657.9369010000005, 'max': 1757.8973, 'mean': 174.10413999999997, 'std': 419.3042401193732, 'min': 0.0357, 'count': 100}","{'p50': 2.7088, 'p95': 1285.471085, 'p99': 1657.9369010000005, 'max': 1757.8973, 'mean': 174.10413999999997, 'std': 419.3042401193732, 'min': 0.0357, 'count': 100}","{'p50': 4919.2283835, 'p95': 9900.4630317, 'p99': 10326.33466378, 'max': 10429.381267, 'mean': 5326.154169960001, 'std': 2669.4558170737514, 'min': 2036.688667, 'count': 100}"
s3_s2full_redis_rep2_20260612,100,5037,100,"{'p50': 2.04155, 'p95': 1978.61107, 'p99': 1997.775353, 'max': 2011.7594, 'mean': 534.053424, 'std': 726.8006418911178, 'min': 0.4909, 'count': 100}","{'p50': 2.04155, 'p95': 1978.61107, 'p99': 1997.775353, 'max': 2011.7594, 'mean': 534.053424, 'std': 726.8006418911178, 'min': 0.4909, 'count': 100}","{'p50': 2227.792556, 'p95': 4697.0474217, 'p99': 4901.607691780001, 'max': 4954.315567, 'mean': 2773.6823669599994, 'std': 929.7557826486096, 'min': 2007.297034, 'count': 100}"
s3_s2full_kafka_rep3_20260612,100,5037,100,"{'p50': 2.67655, 'p95': 1328.6928899999996, 'p99': 1708.6342750000003, 'max': 1797.8407, 'mean': 190.88075200000003, 'std': 439.4055377909918, 'min': 1.505, 'count': 100}","{'p50': 2.67655, 'p95': 1328.6928899999996, 'p99': 1708.6342750000003, 'max': 1797.8407, 'mean': 190.88075200000003, 'std': 439.4055377909918, 'min': 1.505, 'count': 100}","{'p50': 4720.189956, 'p95': 9613.201726700001, 'p99': 10022.16523078, 'max': 10116.813367, 'mean': 5163.090988960001, 'std': 2593.071711507048, 'min': 2041.055867, 'count': 100}"
s3_s2full_redis_rep3_20260612,100,5037,100,"{'p50': 1.9120499999999998, 'p95': 1980.389955, 'p99': 2005.732462, 'max': 2007.4909, 'mean': 536.4284329999999, 'std': 729.4433310864022, 'min': 0.5017, 'count': 100}","{'p50': 1.9120499999999998, 'p95': 1980.389955, 'p99': 2005.732462, 'max': 2007.4909, 'mean': 536.4284329999999, 'std': 729.4433310864022, 'min': 0.5017, 'count': 100}","{'p50': 2237.2901060000004, 'p95': 4703.6362567, 'p99': 4923.90583978, 'max': 4959.085567, 'mean': 2786.39286296, 'std': 928.1258240163485, 'min': 2026.946967, 'count': 100}"
s3_s2full_kafka_rep4_20260612,100,5037,100,"{'p50': 2.42345, 'p95': 1435.966225, 'p99': 1732.1816550000003, 'max': 1789.5873, 'mean': 238.00823100000002, 'std': 483.04770979273434, 'min': 1.4723, 'count': 100}","{'p50': 2.42345, 'p95': 1435.966225, 'p99': 1732.1816550000003, 'max': 1789.5873, 'mean': 238.00823100000002, 'std': 483.04770979273434, 'min': 1.4723, 'count': 100}","{'p50': 3973.289256, 'p95': 8148.6200017, 'p99': 8489.114051780001, 'max': 8571.785267, 'mean': 4404.483113960001, 'std': 2142.4451059771513, 'min': 2015.1875, 'count': 100}"
s3_s2full_redis_rep4_20260612,100,5037,100,"{'p50': 1.6632500000000001, 'p95': 1973.0822799999999, 'p99': 1998.2239, 'max': 2011.5988, 'mean': 531.8777029999999, 'std': 726.7461405445581, 'min': 0.4424, 'count': 100}","{'p50': 1.6632500000000001, 'p95': 1973.0822799999999, 'p99': 1998.2239, 'max': 2011.5988, 'mean': 531.8777029999999, 'std': 726.7461405445581, 'min': 0.4424, 'count': 100}","{'p50': 2208.2616559999997, 'p95': 4695.094251699999, 'p99': 4912.54693178, 'max': 4945.102367, 'mean': 2763.103331959999, 'std': 930.5024853779835, 'min': 2009.7825, 'count': 100}"
s3_s2sf12j2_kafka_rep5_20260612,89,4465,89,"{'p50': 2.2348, 'p95': 1465.2049999999995, 'p99': 1748.5898400000003, 'max': 1805.1338, 'mean': 258.19114382022474, 'std': 497.05391480813915, 'min': 1.5408, 'count': 89}","{'p50': 2.2348, 'p95': 1465.2049999999995, 'p99': 1748.5898400000003, 'max': 1805.1338, 'mean': 258.19114382022474, 'std': 497.05391480813915, 'min': 1.5408, 'count': 89}","{'p50': 3448.747233, 'p95': 6367.179493799999, 'p99': 6626.318343960001, 'max': 6682.250711, 'mean': 3723.9974704719107, 'std': 1568.0754117238832, 'min': 2018.10404, 'count': 89}"
s3_s2sf12j2_redis_rep5_20260612,89,4465,89,"{'p50': 869.0155, 'p95': 1854.1431199999997, 'p99': 1960.869948, 'max': 1987.0371, 'mean': 869.7699898876405, 'std': 622.0124470360768, 'min': 0.8611, 'count': 89}","{'p50': 869.0155, 'p95': 1854.1431199999997, 'p99': 1960.869948, 'max': 1987.0371, 'mean': 869.7699898876405, 'std': 622.0124470360768, 'min': 0.8611, 'count': 89}","{'p50': 2044.341489, 'p95': 2188.7757234, 'p99': 2281.59565196, 'max': 2300.507211, 'mean': 2060.0716142921347, 'std': 53.29051583839977, 'min': 2023.665963, 'count': 89}"
s3_s2full_kafka_rep5_20260612,100,5037,100,"{'p50': 2.48625, 'p95': 1403.7441199999998, 'p99': 1725.7292110000003, 'max': 1801.0693, 'mean': 229.74142899999998, 'std': 473.8342099221821, 'min': 1.3767, 'count': 100}","{'p50': 2.48625, 'p95': 1403.7441199999998, 'p99': 1725.7292110000003, 'max': 1801.0693, 'mean': 229.74142899999998, 'std': 473.8342099221821, 'min': 1.3767, 'count': 100}","{'p50': 4066.771106, 'p95': 8391.9666267, 'p99': 8741.81110278, 'max': 8828.744367, 'mean': 4514.27538296, 'std': 2223.425499162905, 'min': 2024.9562, 'count': 100}"
s3_s2full_redis_rep5_20260612,100,5037,100,"{'p50': 1.83895, 'p95': 1978.522675, 'p99': 1998.078392, 'max': 2001.4337, 'mean': 534.4948659999999, 'std': 726.838090271228, 'min': 0.5389, 'count': 100}","{'p50': 1.83895, 'p95': 1978.522675, 'p99': 1998.078392, 'max': 2001.4337, 'mean': 534.4948659999999, 'std': 726.838090271228, 'min': 0.5389, 'count': 100}","{'p50': 2223.2550060000003, 'p95': 4682.347856699999, 'p99': 4908.49291678, 'max': 4940.195467, 'mean': 2766.83733296, 'std': 928.4291948358065, 'min': 2002.948567, 'count': 100}"
