run_id,backend,scenario,concurrency,plan_csv,tti_ms_p50,tti_ms_p95,tti_ms_p99,tti_ms_max,tti_ms_mean,tti_ms_std,tti_ms_min,n_producer,n_consumer,n_matched,transport_latency_ms_p50
concurrency_n20_20260612_220524_redis_feed18_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,4339.136917,4984.202147,5024.9692159999995,5031.510567,4259.673962409884,562.1414808554516,3120.7203,344,344,344,2257.2361499999997
concurrency_n20_20260612_220524_redis_feed5_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3646.097717,4363.068292,4404.719015,4411.511467,3627.076069677326,556.2594202697146,2493.3271,344,344,344,2285.0510999999997
concurrency_n20_20260612_220524_redis_feed12_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3264.980917,3794.320097,3812.429519,3840.120367,3170.027983340116,494.4508720790474,2146.0352,344,344,344,1986.25565
concurrency_n20_20260612_220524_redis_feed13_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3777.479067,4318.441032,4384.156143,4389.428967,3674.5471487470936,518.8806603616033,2593.499,344,344,344,2280.8518999999997
concurrency_n20_20260612_220524_redis_feed7_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3777.344567,4323.237362,4357.045043,4396.560467,3675.0662868284885,507.50095680813496,2655.5318,344,344,344,2508.16575
concurrency_n20_20260612_220524_redis_feed10_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3706.146867,4202.710007000001,4268.650215000001,4273.711167,3590.663418223837,501.0357312872806,2537.7654,344,344,344,2463.39815
concurrency_n20_20260612_220524_redis_feed6_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,5029.549567,5639.968422,5661.237553,5664.288167,4844.686682758721,667.0002498618454,3537.6844,344,344,344,2376.33795
concurrency_n20_20260612_220524_redis_feed4_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,4347.878767,4722.485062,4740.091331,4746.899467,4140.237432468023,572.9057926090999,2784.3281,344,344,344,2441.65365
concurrency_n20_20260612_220524_redis_feed3_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3795.0839669999996,4120.233727000001,4133.34994,4144.335567,3579.437711247093,537.6648273924303,2256.7714,344,344,344,2165.48715
concurrency_n20_20260612_220524_redis_feed1_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,4047.461767,4423.211002,4434.328882,4436.891867,3884.6959920610466,505.67217041446287,2655.0202,344,344,344,2661.0844500000003
concurrency_n20_20260612_220524_redis_feed20_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,4000.378267,4230.573022,4243.952113,4247.193567,3904.1672818866277,315.68341202242266,3052.5943,344,344,344,2848.24715
concurrency_n20_20260612_220524_kafka_feed6_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2342.168417,2879.6596419999996,2925.896194,2943.655967,2341.7711557238367,342.3150545742218,1722.9892,344,344,344,1585.35655
concurrency_n20_20260612_220524_kafka_feed2_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,1430.090017,2072.743197,2129.895048,2146.368267,1444.5720199680234,370.2894371480192,837.9968,344,344,344,648.7656
concurrency_n20_20260612_220524_kafka_feed17_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2840.4990669999997,3913.0422219999996,4017.750043,4043.229267,2894.6701798517443,607.0814097640813,1969.6235,344,344,344,1842.9976499999998
concurrency_n20_20260612_220524_kafka_feed19_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2798.786067,3957.865872,4070.189915,4096.842567,2867.691291770349,652.886294023447,1901.0427,344,344,344,1751.0387
concurrency_n20_20260612_220524_kafka_feed10_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2820.674467,3920.895322,4010.03267,4038.492767,2874.1527333401164,633.2459379269768,1899.0618,344,344,344,1768.67715
concurrency_n20_20260612_220524_kafka_feed4_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2827.137767,3944.1541119999997,4067.124753,4090.679967,2873.212459793605,654.2358276926568,1847.1512,344,344,344,1653.5056
concurrency_n20_20260612_220524_kafka_feed20_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3150.005967,4263.800722,4352.659126,4373.480067,3166.2921818866284,668.5432621474758,2116.5757,344,344,344,1895.1485
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3075.4649170000002,4256.919962,4344.478436,4369.734967,3115.0080568866283,713.6806588943109,1978.1032,344,344,344,1829.87385
concurrency_n20_20260612_220524_kafka_feed3_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3184.095467,4403.179162,4488.302462,4514.844167,3238.2160504912786,749.4490801082874,2050.6218,344,344,344,1887.00435
concurrency_n20_20260612_220524_kafka_feed1_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3069.754817,4160.232357,4253.454552,4271.746667,3102.5324877005814,682.9419557505116,1966.6045,344,344,344,1821.50545
concurrency_n20_20260612_220524_kafka_feed15_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3474.6917169999997,4556.025867,4643.336389,4663.482267,3473.974618223837,713.2586502328337,2277.1684,344,344,344,2136.08015
concurrency_n20_20260612_220524_kafka_feed8_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3163.965867,4177.473481999999,4250.727601,4267.133067,3141.2665211308135,701.3623567039685,1918.4507,344,344,344,1788.53735
concurrency_n20_20260612_220524_kafka_feed5_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3312.0817669999997,4233.199262,4293.83158,4311.312167,3247.983735084302,691.9816856651565,2014.018,344,344,344,1863.7431000000001
concurrency_n20_20260612_220524_kafka_feed13_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3284.221267,4111.731977,4170.003511,4183.547867,3234.5945670610467,622.9202851613979,2081.3117,344,344,344,1918.31855
concurrency_n20_20260612_220524_kafka_feed11_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3237.016117,4080.536962,4136.15091,4149.227567,3191.260930142442,635.2928583567567,2005.2199,344,344,344,1868.3867
concurrency_n20_20260612_220524_kafka_feed9_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3201.240817,4002.958247,4057.071491,4068.323967,3123.277717642442,651.7175671954961,1891.3348,344,344,344,1745.3375999999998
concurrency_n20_20260612_220524_kafka_feed18_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2989.571667,3765.660237,3808.0816290000002,3818.851867,2900.3316725843024,645.9326153882164,1634.6792,344,344,344,1461.7939999999999
concurrency_n20_20260612_220524_kafka_feed12_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3186.211217,3723.0258470000003,3751.586284,3758.572867,3102.8151763633723,477.55811010428727,2127.2531,344,344,344,1941.7925
concurrency_n20_20260612_220524_kafka_feed16_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3280.690617,3727.737902,3754.047804,3761.394867,3202.2840690959306,412.7851912374103,2329.6749,344,344,344,2190.0708999999997
concurrency_n20_20260612_220524_kafka_feed14_rep1,kafka,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3385.2277670000003,3784.587872,3808.876351,3814.731367,3303.8360065959305,383.08263142231743,2484.9445,344,344,344,2327.49445
