campaign,cell,axis,level,rep,valid,invalid_reason,kept,discarded_zero,discarded_negative,most_negative_micros,zero_share,message_size_b,producer_rate,duration_min,warmup_min,load_pct,bootstrap,count_source,stdout_bytes,stdout_sha256,mtime_utc
load_sweep_p2,l75_rep3,load_pct,75,3,1,,54642,66017,0,0,0.547137,200,500,3,1,75,10.0.1.221:19092,shutdown_hook,29590588,45d8cd06de33d5b3adc13d1869c37ac4f86239093b4b62ae66a2b75232d5c7f0,2026-07-26T19:09:27Z
load_sweep_p2,l88_rep1,load_pct,88,1,1,,114070,6601,0,0,0.054702,200,500,3,1,88,10.0.1.221:19092,shutdown_hook,28435365,deae6203f5f2902377cdac4607706ec21ae0b87b6529f1c433ef7045cb4ca046,2026-07-26T19:18:01Z
load_sweep_p2,l88_rep2,load_pct,88,2,1,,62917,57807,0,0,0.478836,200,500,3,1,88,10.0.1.221:19092,shutdown_hook,29435822,88295a834ac07762b2acccb2051e611c88f1aedba11c22785e719ceb5bd0cfe1,2026-07-26T19:26:35Z
load_sweep_p2,l88_rep3,load_pct,88,3,1,,114978,5750,0,0,0.047628,200,500,3,1,88,10.0.1.221:19092,shutdown_hook,28938444,c0c192af48efed97b63ad690958afedbeb7f025e20349d47a6bebea34f9e2769,2026-07-26T19:35:09Z
load_sweep_p2,l95_rep1,load_pct,95,1,1,,28622,92103,0,0,0.762916,200,500,3,1,95,10.0.1.221:19092,shutdown_hook,29169912,e2c67510d6db0144311895f77d759bb9559e4e92894509504570d7bb00efeaca,2026-07-26T19:43:43Z
load_sweep_p2,l95_rep2,load_pct,95,2,1,,114266,6367,0,0,0.05278,200,500,3,1,95,10.0.1.221:19092,shutdown_hook,28380246,4a04ee800f70e209195740a0c823dad727b1e912f509a6ccf097cbd496e8f0ac,2026-07-26T19:52:18Z
load_sweep_p2,l95_rep3,load_pct,95,3,1,,26183,94617,0,0,0.783253,200,500,3,1,95,10.0.1.221:19092,shutdown_hook,27291401,998c462d9d52031fba5288628d970ef50806f091e05c17a40141d6b2451918ca,2026-07-26T20:00:53Z
rate_phase,r383_rep1,producer_rate,383,1,1,,34801,34411,0,0,0.497183,200,383,3,0,0,10.0.1.221:19092,shutdown_hook,12235056,2f1d7edd8882549a478f32341ed5ccb11f64f7e5b3b8fb801dbb4a19178faa39,2026-07-27T00:56:33Z
rate_phase,r383_rep2,producer_rate,383,2,1,,36812,32474,0,0,0.468695,200,383,3,0,0,10.0.1.221:19092,shutdown_hook,11843520,2836a491851a9c983346c683ee547518a9e148bd26913772fef6035489b0cf7d,2026-07-27T01:04:53Z
rate_phase,r383_rep3,producer_rate,383,3,1,,35604,33590,0,0,0.485447,200,383,3,0,0,10.0.1.221:19092,shutdown_hook,12233989,50a5e9bc21dec157dd346ca02e9d9df4ebeb726245ba69f6b2acaa1f734fd268,2026-07-27T01:13:14Z
rate_phase,r383_rep4,producer_rate,383,4,1,,35400,33884,0,0,0.48906,200,383,3,0,0,10.0.1.221:19092,shutdown_hook,12257840,951118325855b4d41d88c2452e625605b9fb66215be83efb43cc47a3730681a1,2026-07-27T01:21:34Z
rate_phase,r457_rep1,producer_rate,457,1,1,,41022,41529,0,0,0.503071,200,457,3,0,0,10.0.1.221:19092,shutdown_hook,18393992,a01bb36d2967f479d4d53b6d213f7f5567d137f3baca12764074579183722c91,2026-07-27T00:23:12Z
rate_phase,r457_rep2,producer_rate,457,2,1,,42013,40573,0,0,0.491282,200,457,3,0,0,10.0.1.221:19092,shutdown_hook,19255069,68210b53177a561dee945becbae5a0195470a3de734dda5d0090cc4b608a3b3a,2026-07-27T00:31:32Z
rate_phase,r457_rep3,producer_rate,457,3,1,,40277,42308,0,0,0.512296,200,457,3,0,0,10.0.1.221:19092,shutdown_hook,19248254,06e8bef0f60ca94685283166ea35c210485b19f20b5f98175178fcef423af989,2026-07-27T00:39:53Z
rate_phase,r457_rep4,producer_rate,457,4,1,,40853,41671,0,0,0.504956,200,457,3,0,0,10.0.1.221:19092,shutdown_hook,18197067,0e5574c6c6d9e3e110903c50043f23d728be589cb651304ffeb3893f6442eee0,2026-07-27T00:48:13Z
rate_phase,r500_rep1,producer_rate,500,1,1,,90280,13,0,0,0.000144,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21607633,dacc694f157b89234a650648288a9e062bbd9851b8056336937fbb2d7a5fb6fe,2026-07-26T23:49:51Z
rate_phase,r500_rep2,producer_rate,500,2,1,,425,89841,0,0,0.995292,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21633888,0a539f823c94b0b2f48deddbf7980e8570dfba18c00d626415f7843988a73512,2026-07-26T23:58:12Z
rate_phase,r500_rep3,producer_rate,500,3,1,,16259,73988,0,0,0.819839,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21600489,90528d2367fc1fcd85ce3c5a42f9568b29dc64178269d4b125bd8d740b010c6a,2026-07-27T00:06:33Z
rate_phase,r500_rep4,producer_rate,500,4,1,,1362,88906,0,0,0.984912,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21589399,bc20ff29736e373e5bf0c2bcc61e95728b827277ff7cbe2d41909f4240f7e830,2026-07-27T00:14:51Z
resolution,s200_rep1,message_size,200,1,1,,120434,0,0,0,0.0,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31489803,02454bc47ea37e8e1ba1b4b33e67e1bfcb073b25f4c9d860c618f68cf6ff5789,2026-07-26T16:53:40Z
resolution,s200_rep2,message_size,200,2,1,,431,120002,0,0,0.996421,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31513147,c103c0b464ced18f7a3f5075093ece254134285770dcf855c9b04ba23f07894c,2026-07-26T17:02:00Z
resolution,s262144_rep1,message_size,262144,1,1,,31167,0,0,0,0.0,262144,500,3,1,0,10.0.1.221:19092,shutdown_hook,27812,9bab96acca67fd2d0bce9f12ae6d62912d6c3ea12df6dccc2cf5cfb8ec142eac,2026-07-26T17:43:42Z
resolution,s262144_rep2,message_size,262144,2,1,,33950,0,0,0,0.0,262144,500,3,1,0,10.0.1.221:19092,shutdown_hook,29476,dd81f3ca7d2f786aed9e0244fd82198e529e1aa30e65f12377804589a0f31ca2,2026-07-26T17:52:01Z
resolution,s4096_rep1,message_size,4096,1,1,,13177,107259,0,0,0.890589,4096,500,3,1,0,10.0.1.221:19092,shutdown_hook,31406028,d5d588afdce946bdf18e92f7110bab440a9bde9d008f52117ad59caf028870d2,2026-07-26T17:10:20Z
resolution,s4096_rep2,message_size,4096,2,1,,120421,2,0,0,1.7e-05,4096,500,3,1,0,10.0.1.221:19092,shutdown_hook,31449570,89c239225e3f19a7a9ca34fb007f8e8d2927ca3319f7cb4a744d432c771852b1,2026-07-26T17:18:41Z
resolution,s65536_rep1,message_size,65536,1,1,,43289,77229,0,0,0.640809,65536,500,3,1,0,10.0.1.221:19092,shutdown_hook,22414252,ab434904edc8f7d7d456a46cf0f6bb88e508a305cbcfce9847355c2d4bda3ef7,2026-07-26T17:27:01Z
resolution,s65536_rep2,message_size,65536,2,1,,41475,79018,0,0,0.655789,65536,500,3,1,0,10.0.1.221:19092,shutdown_hook,21851171,b0bdd532da06f25bedab307158d376868ec267ab465f341f005a226cefea687c,2026-07-26T17:35:21Z
smoke,l0_rep1,load_pct,0,1,1,,,,,,,200,500,1,1(default),0,10.0.1.221:19092,none_in_log,11784661,5ecd4641e8df3e91f66cda72d4effe78fcec10f907e1a6961f5c3e1d24dcb639,2026-07-26T13:18:48Z
smoke2,l0_rep1,load_pct,0,1,1,,975,50000,0,0,0.980873,200,500,1,1(default),0,10.0.1.221:19092,none_in_log,11767227,0d0a8fc64514ae60483f034d3476b7c70ac81924cbf8964a3e0020dbe37ea76e,2026-07-26T14:06:23Z
