bin_low_us,bin_high_us,ack,send,output_send,tti
67650,67700,2,5,5,4
67700,67750,2,5,5,4
67750,67800,4,5,5,2
67800,67850,2,3,3,5
67850,67900,4,4,4,2
67900,67950,2,4,4,7
67950,68000,1,3,3,2
68000,68050,2,3,3,1
68050,68100,3,3,3,1
68100,68150,6,3,3,5
68150,68200,8,5,5,3
68200,68250,1,3,3,4
68250,68300,2,6,5,7
68300,68350,3,3,4,4
68350,68400,5,2,2,3
68400,68450,5,4,4,5
68450,68500,1,5,5,2
68500,68550,1,1,1,2
68550,68600,1,5,5,5
68600,68650,7,2,2,3
68650,68700,3,1,1,4
68700,68750,2,2,2,2
68750,68800,1,3,3,4
68800,68850,4,6,6,6
68850,68900,7,1,1,5
68900,68950,2,4,4,9
68950,69000,6,4,4,5
69000,69050,3,1,1,4
69050,69100,1,1,0,5
69100,69150,3,1,2,6
69150,69200,4,2,2,4
69200,69250,6,4,4,3
69250,69300,10,2,2,6
69300,69350,3,3,3,3
69350,69400,3,5,5,4
69400,69450,1,4,4,3
69450,69500,3,2,1,5
69500,69550,5,6,7,3
69550,69600,6,2,2,2
69600,69650,2,3,3,3
69650,69700,4,0,0,7
69700,69750,6,5,5,6
69750,69800,3,0,0,3
69800,69850,2,4,4,3
69850,69900,1,1,1,3
69900,69950,1,3,3,0
69950,70000,8,3,3,5
70000,70050,7,1,0,2
70050,70100,6,4,5,5
70100,70150,3,3,2,3
70150,70200,1,3,4,1
70200,70250,0,3,3,3
70250,70300,2,1,1,6
70300,70350,2,5,5,2
70350,70400,3,4,4,4
70400,70450,3,4,4,3
70450,70500,10,3,2,2
70500,70550,3,5,5,4
70550,70600,4,2,2,2
70600,70650,1,1,1,4
70650,70700,3,5,5,4
70700,70750,2,5,5,4
70750,70800,2,1,2,1
70800,70850,2,4,4,3
70850,70900,6,3,3,2
70900,70950,0,4,4,2
70950,71000,6,4,4,1
71000,71050,2,5,3,5
71050,71100,1,5,7,2
71100,71150,3,6,5,1
71150,71200,6,4,5,3
71200,71250,8,1,1,2
71250,71300,4,3,3,1
71300,71350,6,2,2,3
71350,71400,1,3,3,1
71400,71450,3,1,1,4
71450,71500,4,2,2,0
71500,71550,2,2,2,2
71550,71600,8,2,2,2
71600,71650,3,1,1,6
71650,71700,2,4,4,6
71700,71750,2,1,1,6
71750,71800,5,4,4,2
71800,71850,4,1,1,2
71850,71900,1,5,5,1
71900,71950,2,3,3,1
71950,72000,4,3,3,5
72000,72050,7,2,2,2
72050,72100,4,1,1,7
72100,72150,3,4,4,3
72150,72200,3,1,1,5
72200,72250,3,3,3,2
72250,72300,3,1,1,0
72300,72350,1,5,5,4
72350,72400,1,2,2,2
72400,72450,3,2,2,1
72450,72500,3,1,1,2
72500,72550,4,1,1,5
72550,72600,1,1,1,4
72600,72650,1,0,0,5
72650,72700,4,5,5,2
72700,72750,6,3,3,3
72750,72800,1,3,3,1
72800,72850,2,2,2,2
72850,72900,4,3,2,4
72900,72950,3,3,4,3
72950,73000,2,2,2,1
73000,73050,6,5,5,4
73050,73100,6,2,2,3
73100,73150,2,3,3,2
73150,73200,1,1,1,3
73200,73250,2,3,3,5
73250,73300,4,2,2,2
73300,73350,3,4,4,2
73350,73400,3,3,3,3
73400,73450,2,3,3,2
73450,73500,5,3,3,3
73500,73550,5,4,4,7
73550,73600,3,2,2,2
73600,73650,5,1,1,4
73650,73700,4,2,2,3
73700,73750,0,3,3,0
73750,73800,3,2,2,4
73800,73850,2,4,4,3
73850,73900,3,2,2,4
73900,73950,2,2,2,6
73950,74000,3,3,3,5
74000,74050,4,1,1,3
74050,74100,0,5,5,5
74100,74150,1,4,4,6
74150,74200,3,4,4,2
74200,74250,3,4,3,1
74250,74300,5,3,4,0
74300,74350,4,2,2,1
74350,74400,8,8,8,2
74400,74450,1,0,0,0
74450,74500,2,3,3,5
74500,74550,3,4,4,5
74550,74600,3,2,2,2
74600,74650,1,3,3,4
74650,74700,2,1,1,1
74700,74750,3,2,2,3
74750,74800,1,2,1,3
74800,74850,4,2,3,5
74850,74900,0,2,2,3
74900,74950,1,0,0,1
74950,75000,7,2,2,4
75000,75050,2,1,1,3
75050,75100,1,2,2,3
75100,75150,2,4,4,0
75150,75200,2,6,6,4
75200,75250,2,2,2,3
75250,75300,2,1,1,2
75300,75350,5,1,1,4
75350,75400,1,4,4,0
75400,75450,2,1,1,2
75450,75500,1,3,3,2
75500,75550,0,5,5,5
75550,75600,4,1,1,2
75600,75650,5,3,3,3
75650,75700,4,5,5,3
75700,75750,4,0,0,2
75750,75800,5,5,5,0
75800,75850,2,2,2,4
75850,75900,4,3,3,5
75900,75950,4,1,1,1
75950,76000,3,6,6,5
76000,76050,4,4,4,1
76050,76100,3,0,0,3
76100,76150,6,3,3,1
76150,76200,2,2,2,4
76200,76250,1,0,0,2
76250,76300,3,4,4,2
76300,76350,3,1,1,3
76350,76400,0,1,1,3
