run_id,condition,gate,n_events,neg_ack,ms_deleted,over_0.1,over_0.25,over_0.5,over_1
concurrency_n12_20260724_062751_kafka_feed4_rep8,kafka_n12_feed4,pass,112,1,37,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep9,kafka_n12_feed4,pass,112,1,47,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed5_rep1,kafka_n12_feed5,pass,145,0,75,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep10,kafka_n12_feed5,pass,145,0,67,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep11,kafka_n12_feed5,fail,145,5,67,145,145,145,5
concurrency_n12_20260724_062751_kafka_feed5_rep12,kafka_n12_feed5,pass,145,0,66,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep13,kafka_n12_feed5,pass,145,0,69,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep14,kafka_n12_feed5,pass,145,0,60,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep15,kafka_n12_feed5,pass,145,0,64,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep2,kafka_n12_feed5,pass,145,0,62,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep3,kafka_n12_feed5,pass,145,0,58,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep4,kafka_n12_feed5,pass,145,0,74,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep5,kafka_n12_feed5,pass,145,0,70,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep6,kafka_n12_feed5,pass,145,0,81,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep7,kafka_n12_feed5,pass,145,0,61,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep8,kafka_n12_feed5,pass,145,0,69,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed5_rep9,kafka_n12_feed5,pass,145,0,67,145,145,145,0
concurrency_n12_20260724_062751_kafka_feed6_rep1,kafka_n12_feed6,pass,88,0,37,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep10,kafka_n12_feed6,pass,88,0,40,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep11,kafka_n12_feed6,pass,88,0,33,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep12,kafka_n12_feed6,pass,88,0,39,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep13,kafka_n12_feed6,pass,88,0,47,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep14,kafka_n12_feed6,pass,88,0,49,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep15,kafka_n12_feed6,pass,88,0,44,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep2,kafka_n12_feed6,fail,88,5,49,88,88,88,5
concurrency_n12_20260724_062751_kafka_feed6_rep3,kafka_n12_feed6,pass,88,0,44,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep4,kafka_n12_feed6,pass,88,0,44,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep5,kafka_n12_feed6,pass,88,0,44,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep6,kafka_n12_feed6,pass,88,0,43,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep7,kafka_n12_feed6,pass,88,0,41,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed6_rep8,kafka_n12_feed6,fail,88,5,50,88,88,88,5
concurrency_n12_20260724_062751_kafka_feed6_rep9,kafka_n12_feed6,pass,88,0,38,88,88,88,0
concurrency_n12_20260724_062751_kafka_feed7_rep1,kafka_n12_feed7,pass,94,0,34,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep10,kafka_n12_feed7,pass,94,0,47,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep11,kafka_n12_feed7,pass,94,0,33,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep12,kafka_n12_feed7,pass,94,0,42,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep13,kafka_n12_feed7,pass,94,0,40,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep14,kafka_n12_feed7,pass,94,0,40,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep15,kafka_n12_feed7,pass,94,0,39,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep2,kafka_n12_feed7,pass,94,0,38,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep3,kafka_n12_feed7,pass,94,0,40,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep4,kafka_n12_feed7,pass,94,0,38,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep5,kafka_n12_feed7,pass,94,0,43,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep6,kafka_n12_feed7,pass,94,0,45,94,94,94,0
concurrency_n12_20260724_062751_kafka_feed7_rep7,kafka_n12_feed7,pass,94,0,43,94,94,94,0
