t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784997995718621248,344439,591221433,1339002873,946,14,1
1784997995718621248,344442,593354577,1492979225,902,12,1
1784997995718621248,344443,677059532,1587411557,1897,13,1
1784997995718621248,344445,606079082,1482652519,1136,13,1
1784997995718621248,344482,608547367,1087551969,536,9,1
1784997995718621248,344485,625325355,1530871829,1450,9,1
1784997995718621248,344489,568521916,1595090970,382,9,1
1784997995718621248,344492,640878483,1597432667,492,9,1
1784997995718621248,344493,634694871,1583456452,1567,9,1
1784997996229629287,344387,1979477356,2396895800,2113,2,1
1784997996229629287,344388,1418068212,2504701625,13269,1,1
1784997996229629287,344394,1752185390,2148889278,4977,2,1
1784997996229629287,344395,1592701570,2377522664,16369,1,1
1784997996229629287,344411,1537572815,2796992120,15073,1,1
1784997996229629287,344415,1774198424,2173853432,3541,2,1
1784997996229629287,344418,1673421196,3120452290,17485,1,1
1784997996229629287,344422,1945873871,2050538603,2578,2,1
1784997996229629287,344425,1699195229,2494333517,3094,2,1
1784997996229629287,344429,1337275295,2398717827,13466,1,1
1784997996229629287,344438,578425867,1522398316,616,12,1
1784997996229629287,344439,591221433,1339002873,946,14,1
1784997996229629287,344442,593354577,1492979225,902,12,1
1784997996229629287,344443,677059532,1587411557,1897,13,1
1784997996229629287,344445,606079082,1482652519,1136,13,1
1784997996229629287,344482,608547367,1087551969,536,9,1
1784997996229629287,344485,625325355,1530871829,1450,9,1
1784997996229629287,344489,568521916,1595090970,382,9,1
1784997996229629287,344492,640878483,1597432667,492,9,1
1784997996229629287,344493,634694871,1583456452,1567,9,1
1784997996740640761,344387,1980408964,2400553928,2115,2,1
1784997996740640761,344388,1418387361,2504701625,13270,1,1
1784997996740640761,344394,1754403758,2149071131,4979,2,1
1784997996740640761,344395,1593115401,2377522664,16370,1,1
1784997996740640761,344411,1538352285,2796992120,15077,1,1
1784997996740640761,344415,1775423412,2176413824,3543,2,1
1784997996740640761,344418,1673421196,3120452290,17485,1,1
1784997996740640761,344422,1946504106,2052822470,2579,2,1
1784997996740640761,344425,1701846448,2498785527,3104,2,1
1784997996740640761,344429,1337591560,2398717827,13467,1,1
1784997996740640761,344438,578425867,1522398316,616,12,1
1784997996740640761,344439,591221433,1339002873,946,14,1
1784997996740640761,344442,594602298,1493825064,914,12,1
1784997996740640761,344443,677059532,1587411557,1897,13,1
1784997996740640761,344445,606079082,1482652519,1136,13,1
1784997996740640761,344482,608547367,1087551969,536,9,1
1784997996740640761,344485,625325355,1530871829,1450,9,1
1784997996740640761,344489,570016218,1596339574,385,9,1
1784997996740640761,344492,640878483,1597432667,492,9,1
1784997996740640761,344493,634694871,1583456452,1567,9,1
1784997997259392573,344387,1983339020,2402719848,2125,2,1
1784997997259392573,344388,1418387361,2504701625,13270,1,1
1784997997259392573,344394,1756075846,2152072574,4982,2,1
1784997997259392573,344395,1593115401,2377522664,16370,1,1
1784997997259392573,344411,1538352285,2796992120,15077,1,1
1784997997259392573,344415,1777069161,2179087766,3546,2,1
1784997997259392573,344418,1673706925,3120452290,17486,1,1
1784997997259392573,344422,1948492028,2052822470,2582,2,1
1784997997259392573,344425,1703813029,2501721692,3107,2,1
1784997997259392573,344429,1337591560,2398717827,13467,1,1
1784997997259392573,344438,578425867,1522398316,616,12,1
1784997997259392573,344439,591221433,1339002873,946,14,1
1784997997259392573,344442,594602298,1493825064,914,12,1
1784997997259392573,344443,677059532,1587411557,1897,13,1
1784997997259392573,344445,606079082,1482652519,1136,13,1
1784997997259392573,344482,608547367,1087551969,536,9,1
1784997997259392573,344485,625325355,1530871829,1450,9,1
1784997997259392573,344489,570016218,1596339574,385,9,1
1784997997259392573,344492,640878483,1597432667,492,9,1
1784997997259392573,344493,634694871,1583456452,1567,9,1
1784997997771636389,344387,1984319291,2403299047,2126,2,1
1784997997771636389,344394,1758286173,2152367366,4984,2,1
