t_wall,rho,loadavg
1784966316.0932739,0.75373,6.19
1784966316.5940423,0.74687,6.19
1784966317.0948317,0.75373,6.19
1784966317.5956216,0.75312,6.19
1784966318.0964992,0.7581,6.19
1784966318.5983362,0.74378,6.19
1784966319.0991838,0.7619,6.01
1784966319.6000113,0.74687,6.01
1784966320.102283,0.75186,6.01
1784966320.6031013,0.7575,6.01
1784966321.106328,0.75186,6.01
1784966321.6071603,0.75312,6.01
1784966322.1092968,0.745,6.01
1784966322.6100826,0.7581,6.01
1784966323.1112704,0.75124,6.01
1784966323.6120505,0.75312,6.09
1784966324.113276,0.81203,6.09
1784966324.6140485,0.8404,6.09
1784966325.1148217,0.85678,6.09
1784966325.616267,0.76368,6.09
1784966326.1171036,0.75188,6.09
1784966326.6182635,0.75373,6.09
1784966327.1190786,0.75188,6.09
1784966327.6198683,0.7525,6.09
1784966328.1213307,0.75373,6.09
1784966328.622157,0.74937,6.0
1784966329.122922,0.76,6.0
1784966329.6232605,0.74876,6.0
1784966330.1262598,0.75373,6.0
1784966330.6270428,0.75,6.0
1784966331.1302764,0.75931,6.0
1784966331.6310766,0.74687,6.0
1784966332.1318789,0.75062,6.0
1784966332.6322708,0.75439,6.0
1784966333.1352718,0.75495,6.0
1784966333.636061,0.75062,6.0
1784966334.1382453,0.75312,6.0
1784966334.6390455,0.74813,6.0
1784966335.1398585,0.74937,6.0
1784966335.640253,0.755,6.0
1784966336.1407032,0.7475,6.0
1784966336.6412797,0.75871,6.0
1784966337.142099,0.75312,6.0
1784966337.6433046,0.75,6.0
1784966338.1441214,0.74937,6.0
1784966338.6449423,0.75871,6.0
1784966339.1452532,0.7425,6.0
1784966339.647248,0.7675,6.0
1784966340.1478825,0.765,6.0
1784966340.6483328,0.7581,6.0
1784966341.1492038,0.74813,6.0
1784966341.6502793,0.755,6.0
1784966342.151109,0.7475,6.0
1784966342.6532896,0.75622,6.0
1784966343.1541703,0.75871,6.0
1784966343.6550045,0.73815,6.16
1784966344.1558154,0.7575,6.16
1784966344.6562765,0.75561,6.16
1784966345.158275,0.7425,6.16
1784966345.6593008,0.7575,6.16
1784966346.1623263,0.75248,6.16
1784966346.6636212,0.745,6.16
1784966347.1690936,0.755,6.16
1784966347.6702266,0.75248,6.16
1784966348.1710222,0.74564,6.16
1784966348.6742394,0.75931,6.31
1784966349.1749895,0.75,6.31
1784966349.6752646,0.74937,6.31
1784966350.178309,0.75931,6.31
1784966350.6791098,0.7475,6.31
1784966351.1798618,0.75312,6.31
1784966351.6832464,0.75622,6.31
1784966352.1840224,0.7475,6.31
1784966352.6848197,0.75561,6.31
1784966353.1853333,0.75871,6.31
1784966353.687249,0.75312,6.28
1784966354.1880143,0.74687,6.28
1784966354.6888015,0.76,6.28
1784966355.190256,0.75124,6.28
1784966355.6932576,0.74876,6.28
1784966356.1940324,0.7475,6.28
1784966356.6947923,0.7575,6.28
1784966357.19824,0.75309,6.28
1784966357.6990142,0.75439,6.28
1784966358.1997957,0.74564,6.28
1784966358.7022471,0.75434,6.26
1784966359.2030263,0.75,6.26
1784966359.7038484,0.75,6.26
1784966360.2042973,0.75561,6.26
1784966360.7052429,0.7581,6.26
1784966361.2063007,0.7375,6.26
1784966361.7102497,0.76179,6.26
1784966362.211025,0.75188,6.26
1784966362.7122383,0.7469,6.26
1784966363.2129998,0.7525,6.26
1784966363.715257,0.7581,6.24
1784966364.2160032,0.74687,6.24
1784966364.7182434,0.75309,6.24
1784966365.218993,0.75126,6.24
1784966365.7222502,0.74752,6.24
1784966366.2230232,0.7619,6.24
1784966366.7237775,0.74627,6.24
1784966367.2252436,0.75188,6.24
1784966367.7260153,0.77805,6.24
1784966368.226765,0.75124,6.24
1784966368.7275321,0.74564,6.38
1784966369.2312353,0.75,6.38
1784966369.732008,0.75689,6.38
1784966370.2352479,0.74938,6.38
1784966370.7360163,0.75,6.38
1784966371.2372458,0.75373,6.38
1784966371.7380078,0.7525,6.38
1784966372.23924,0.74938,6.38
1784966372.7399874,0.7594,6.38
1784966373.241233,0.745,6.38
1784966373.7419956,0.755,6.43
1784966374.2427871,0.74876,6.43
1784966374.7442505,0.7581,6.43
1784966375.245057,0.74564,6.43
1784966375.7458696,0.75312,6.43
1784966376.2492547,0.75622,6.43
1784966376.7500472,0.74937,6.43
1784966377.2508295,0.74564,6.43
1784966377.7532644,0.76427,6.43
1784966378.2540522,0.74436,6.43
