slot_ts,n_matches,competitions
2010-11-29 21:00:00,1,La Liga
2010-12-04 20:45:00,1,La Liga
2010-12-12 21:00:00,1,La Liga
2010-12-18 20:00:00,1,La Liga
2011-01-08 22:00:00,1,La Liga
2011-01-16 21:00:00,1,La Liga
2011-01-22 20:00:00,1,La Liga
2011-01-29 20:00:00,1,La Liga
2011-02-05 22:00:00,1,La Liga
2011-02-12 20:00:00,1,La Liga
2011-02-20 21:00:00,1,La Liga
2011-02-26 20:00:00,1,La Liga
2011-03-02 22:00:00,1,La Liga
2011-03-05 20:00:00,1,La Liga
2011-03-13 21:00:00,1,La Liga
2011-03-19 20:00:00,1,La Liga
2011-04-02 22:00:00,1,La Liga
2011-04-09 20:00:00,1,La Liga
2011-04-16 22:00:00,1,La Liga
2011-04-23 20:00:00,1,La Liga
